政策名称,发布机构,关键词,发布时间,主要内容,政策链接,抓取时间
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
浙江宁波成立新能源汽车产业知识产权刑事保护中心,公安部网站,新能源汽车,2024-05-18,,http://www.mps.gov.cn/n2255079/n4876594/n4974590/n5374167/c9572288/content.html,2025-02-13 03:53:37
一图看懂！公安部：全国新能源汽车保有量已超过2000万辆,公安部网站,新能源汽车,2024-01-11,,http://www.mps.gov.cn/n6557563/c9386285/content.html,2025-02-13 03:53:37
全国机动车保有量达4.35亿辆 驾驶人达5.23亿人 新能源汽车保有量超过200...,公安部网站,新能源汽车,2024-01-11,,http://www.mps.gov.cn/n2254098/n4904352/c9384864/content.html,2025-02-13 03:53:37
全国机动车达4.3亿辆 驾驶人达5.2亿人 新能源汽车保有量达1821万辆,公安部网站,新能源汽车,2023-10-10,,http://www.mps.gov.cn/n2254098/n4904352/c9244719/content.html,2025-02-13 03:53:37
2023年上半年全国机动车达4.26亿辆 驾驶人达5.13亿人 新能源汽车保有量...,公安部网站,新能源汽车,2023-07-08,,http://www.mps.gov.cn/n2254314/n6409334/c9106375/content.html,2025-02-13 03:53:37
李克强向2022世界新能源汽车大会致贺信,公安部网站,新能源汽车,2022-08-27,,http://www.mps.gov.cn/n7598382/c8674058/content.html,2025-02-13 03:53:37
全国新能源汽车保有量已突破1000万辆,公安部网站,新能源汽车,2022-07-06,,http://www.mps.gov.cn/n2254314/n6409334/c8577234/content.html,2025-02-13 03:53:37
2021年全国机动车保有量达3.95亿　新能源汽车同比增59.25%,公安部网站,新能源汽车,2022-01-11,,http://www.mps.gov.cn/n2254314/n6409334/c8322353/content.html,2025-02-13 03:53:37
2020年全国新注册登记机动车3328万辆　新能源汽车达492万辆,公安部网站,新能源汽车,2021-01-07,,http://www.mps.gov.cn/n2254098/n4904352/c7647179/content.html,2025-02-13 03:53:37
一图读懂：2020年全国新注册登记机动车3328万辆　新能源汽车达492万辆,公安部网站,新能源汽车,2021-01-07,,http://www.mps.gov.cn/n6557563/c7647931/content.html,2025-02-13 03:53:37
中共中央 国务院印发《乡村全面振兴规划（2024—2027年）》  2025-1-22,中央政府网站,新能源汽车,2025-1-22,,https://www.gov.cn/zhengce/202501/content_7000493.htm,2025-02-13 03:54:13
关系新能源汽车消费、保障中小企业款项支付……2025年这些事要干！  2025-1-21,中央政府网站,新能源汽车,2025-1-21,,https://www.gov.cn/zhengce/202501/content_7000349.htm,2025-02-13 03:54:13
新能源车险投保难、保费贵咋解决 四部门发文提出多项改革举措，推出投保平台  2025-2-11,中央政府网站,新能源汽车,2025-2-11,,https://www.gov.cn/zhengce/202502/content_7003408.htm,2025-02-13 03:54:13
金融监管总局有关司局负责人就《关于深化改革加强监管促进新能源车险高质量发展的指导意见》答记者问  2025-1-24,中央政府网站,新能源汽车,2025-1-24,,https://www.gov.cn/zhengce/202501/content_7001028.htm,2025-02-13 03:54:13
瞄准投保难题！我国首个新能源车险指导意见出招  2025-1-24,中央政府网站,新能源汽车,2025-1-24,,https://www.gov.cn/zhengce/202501/content_7000972.htm,2025-02-13 03:54:13
有力促进投资消费 有效畅通经济循环——当前“两新”工作热点问答  2025-1-22,中央政府网站,新能源汽车,2025-1-22,,https://www.gov.cn/zhengce/202501/content_7000577.htm,2025-02-13 03:54:13
